	id	question	solution
22	23	Write down and explain Hebb's rule!	 Hebb's rule:  - When the neurons on either side of the synapse are excited synchronously, then the weight of the synapse is increased accordingly.  - When the neurons on either side of the synapse are excited asynchronously, then the weight of the synapse is decreased accordingly.
23	25	What are some principle problems in machine learning? Give explanations!	Overfitting: The network learns noise in the data    Too strong generalization: The network generalizes too strong so that the output does not tell anything.    No convergence: The learning machine may not converge and oscillate.    There may be too few labelled data available, training need lots of data.
24	26	How to remedy over-fitting?	 Overfitting can be avoided or decreased by the following methods:  - Adding prior information or invariances in the design of the network.  - Early stopping of the algorithm when the error is under some threshold value.  - Assigning a momentum factor to the error function which makes the error function descend slowly for variation in time.
25	27	Give the main idea of Cover's theorem and where / how is it used?	 Cover's theorem states that a complex pattern clasification problem cast in high dimension is more likely to be linearly separable than in a low dimension provided the following conditions.  - The transformation is non linear.  - The dimension is high enough.    It is used to classify non linearly separable patterns by casting them to high dimension.
26	28	Explain the concept of Kernel functions used in SVMs!	The kernel functions are used project the input in a higher dimension so that the data non - linearly separable data becomes linearly seperable.    few kernel functions are:  1. polynomial term  2. Radial basis function   3. gaussian function
27	29	What does the Perceptron Learning Theorem tell us?	 Perceptron learning theorem states that the learning converges if the data is linearly separable.
28	30	What is three-way data split and how to use if for NN training?	  - Three-way data split is the process of dividing the available dataset into three parts.  - The training dataset, validation dataset and the testing dataset.  - After the network is presented with the training dataset, validation dataset is used find the most appropriate method i.e., which produces the least error.  - Then the test dataset is used to find the generalization performance of the network.
29	31	Explain the behavior of train and test error, if we add more and more training samples	    If we add more more training samples then the when we train the network, it there is will less trainning error it will try to fit for the trainging data.     may end up memorising the  training data.     and  test data is from the traing set then there will very less or no error. if it is not from the training set then there might be relativeliy high error in test data.
30	32	Define and explain the term local gradient in back-propagation!	    The local gradient in back propagation is the local component of the error function that is to be calculated for every neuron in the direction against the synaptic flow.  - If a neuron is a output node, the local gradient is equal to the product of the derivative of the activation function and the error signal.  - If a neuron if a hidden node, the local gradient is equal to the product of the derivative of the activation function and the sum of the products of the local gradient and the ouput of the neuron in the next layer.
31	34	What is Newtons method in general? How can it be utilized for NNs?	The Newtons method in general, is a method used for optmizing certain non-linear funtion. This method uses a second order approximation of the cost function, based on second order Tailor expansion, for perdorming optimization procedure. In contrast to steepest descent method where the cost function is approximited with first order function-line, in this method cost function is approximated with quadratic function. Newton method does not exibit osicilatory path while leaning process, but it requires additionaly second derivative(gradient) of a cost function, and also this graddient must be always positive definite. THis method is hard to implement, because we do not have always second gradient available, and if we have, it is not guaratiened that this gradient will always stay positive definite.   Newton method can be used for learning in  NN , such that it can be applied for searching(finding) the minimum of a error funtion. The error funtion is defined as difference between desired signal and output signal from NN. The Newton method searchs for min of errror function, by changeing values of synaptiic weigths, and by then performing learning process of NN.
32	35	"What do we understand by ""momentum"" in context of learning?"	      $W_{n+1} = \alpha W_n + \eta e_n x_n$    In a learning machine $\alpha$ is the momentum, It    * Reduces the zigzag effect while making adjustment of the weights  * Speed up the convergence in a steady down hill
33	36	"What is ""normalization"" of inputs?"	Normalization of the input takes place in following steps:  1. Mean removal  2. Uncorrelation of data points.  3. Decrease the covariance.  PCA is a useful tool for data normalization or whitening of inputs
34	37	When designing a feed-forward NN how to determine the correct number of layers?	  - We can start with large number of layers and decrease them until the performance degrades.  - We can start with small number of layers and increase them until the performance is acceptable.
35	38	How many training examples are needed for training an NN?	  - The number of training examples needed for training an NN should be atleast 5 to 10 times the number of weights.  - The lower bound for the number of training examples, m, can be calculated when the VC dimesion is given as h and the error propabability is 1- $\sigma$    $m \leq \sqrt\frac{(4h\log(2/\sigma)) - 8 log(13 \sigma)}{h}$
36	39	Give some examples of families of RBF functions!	 Families of RBF functions:  - Multiquadric functions  - Inverse multiquadric functions  - Gaussian functions
37	47	"Explain the term ""k-fold cross validation"""	    K fold cross validation    its basically helps computing performance .    you divide the data set into traning and test data. into k folds .     then clacluate the error for each fold and find out average all errors. 
38	49	Give samples for problems with can be solved using SOMs and explain how.	    Travelling sales person problem, grouping a set of given RGB colors into groups such problems can be solved with SOM because,    * SOM gives topological structure of the neurons where adjacent neurons tends to have similar value.   * The network maps an input to a neuron closest to the input.  * The neuron is the centroid of the points in a cluster    So in case of travelling sales person problem the network will give structure of the locations to travel and the adjacent locations will be presented by adjacent neurons.    In case of grouping colors the network will group similar colors together and adjacent neurons will have similar values.
39	51	Define max-pooling and the term ReLU in context of CNNs.	Max pooling in CNN is further adjustment of the convoluted network to make it tarnslation invariant. That is, for small translation in input the output remains unaffected.     Rectified Linear Unit is a type of activation function used in CNN. It can be written as  $$\phi(x)= max(0,x)$$  It is a type of picewise activation function and removes the danger of vanishing gradient problem which is a charecteristic of sigmoid function
